NAME	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Ex7	Ex8	In1	In2	In3	In4	In5	In6	In7	In8
ADAM33	1.0119876382112893	1.0051896149526036	1.026583265502764	1.022163311361708	1.017590367129329	1.013033497865664	1.0103878652152312	1.0138620584346554	7.505377990633518	11.259155677702747	1.0748498121409904	1.0249439811480374	1.0127502085700686	1.0121249618249433	1.0571260214284308	1.0383371629496851
ADAMTS17	9.824402168054773	5.789103068823751	19.959053256831204	7.7623868953787625	7.977734681516285	7.973366566675502	9.554798640566098	21.927740862993918	20.01358028637906	83.10362660932762	32.17968623506731	8.447809583728118	7.7100154165056045	543.8749787616903	65.98009513569724	35.66892440853304
ADAMTS3	32.211492875984945	2.8189906795715647	2.970675888687367	4.657084135527615	2.1274340898807518	2.0585106938209305	45.79468334259191	27.393503244071084	2.3519705133500004	1.6702622628596477	2.6900117671557933	1.7571330701986505	1.818440587199282	1.6991587540984745	1.9398701144696366	2.3274288003779655
ADAMTS6	5.303207233272734	5.254124577915723	7.102828644940132	5.2124601290603705	4.460327566297659	6.074765225992024	4.204490281781023	3.9576948701849424	40.40034351026776	33.232546089554894	122.25273308648842	5.249484580303387	4.580127542835196	5.891464174963871	33.16088490146723	9.306197477333088
ADAMTSL1	7.341865143102069	9.401894054684613	11.121265787137107	5.3550298379328005	9.506318547891583	147.64213519186683	6.580637294515414	6.14262999226926	11.872477279426722	7.698860119009083	8.268253440647985	8.702557960213822	6.928332413662144	6.4395715782309155	12.961645081860581	16.740875137320565
ADAMTSL3	10.532110990340554	6.789496444223939	6.089240776403714	7.025977141659096	9.210212440109656	20.362477066796664	9.850450330284705	17.649335521430974	13.860905837474473	5.674689164567889	8.44042389704309	176.2192302963328	89.25476031358164	4.715052839102969	16.77275600044214	14.561904465863321
ADARB2	14.318247162954481	11.791200218491063	18.009183976278464	15.92745101774365	13.101873461832751	21.14178983770416	16.367430122677114	15.37829639147192	7858.687693198443	7104.927120772585	3865.995187662017	7858.687693198443	8395.025652666587	16.409589815694158	24.588725238552414	24.434256978771522
ADCY8	1.1080220828015523	121.01998963338909	29.429197882109825	4.602619231587001	1.9060254962393413	3.371120329009666	2.7198876262045495	1.32849245015435	34.093453304359336	103.7395842616717	10.99426341428386	31.7135913751478	32.589371222659075	198.70143971041392	171.52420847792362	128.25337236131386
ADCYAP1R1	1.6020068581208726	27.60869138724363	5.5681906080940795	1.9794464288184397	13.641697661488914	20.707380922501713	3.129058802523968	3.8800542469704524	74.00124698950484	110.62338591743348	132.48226852455772	50.87964840596591	105.9940459458713	202.9328532940449	50.462655802706124	97.48285277661131
ADRA1A	1.0138370837110018	1.1830099180935016	1.0136520407271885	1.0131045250515078	1.04913641129287	1.0698912825009042	1.0042129617147229	1.0103878652152312	245.91754623151635	272.05678928096484	238.19220322397993	243.15468593115526	199.89573231371253	79.22004835981821	146.5738621620867	6.416843381409979
ADRA1B	8.166741486799703	1.5522452515953666	1.6660368451226173	1.8165749666401534	1.9324071497744373	6.695239687345077	15.558368166390485	29.782114863702006	23.029736760846333	79.64469120338731	11.3476060502072	2.579434843947775	1.4161526196133898	1.4007048397831805	1.721506930409685	1.6300744096724622
ALCAM	36.10287453431481	38.77073026589273	60.831958614108004	150.6111574635454	14.487070072310019	21.76300479754586	14.755718545315075	33.85473213602998	79.41335364471736	1672.4541554011762	17.89896773346576	25.633554057506203	142.31951072825166	63.36113250239524	35.87198153818042	146.74157069353492
ALDH1A1	1.8410414908390937	1.4781570271361126	2.984127701128819	17.587782498253482	2.108085670018862	1.6277522588062707	1.8388379225744438	2.6492789899971867	2.643243766735001	2.255341403310683	1.8091835507258507	2.1125606974800926	1.336984232220766	1.84669142367708	2.355463266390508	2.928606346253206
ALK	15.40646203738971	13.641106912067835	23.839687682423055	12.84358685917713	20.064362860726142	18.156622934556054	16.777680633277626	50.35491746361808	49.93207953117812	84.57036186796327	24.943983009687205	1031.2830688944373	1278.0880548472264	178.0439609597552	221.3828417236635	166.33819799937106
AMOTL1	1.951899749813323	1.6788357738346091	1.7905662243432818	2.1132960471057607	2.6342310197066894	2.520567544398567	1.4517323738802643	1.5720021966849451	15.551991183832936	12.05851969960792	12.91363104760102	8.803151436911774	38.037131610383284	90.90465013787855	55.022645668066616	14.47460078224736
ANK1	6.902537852654266	4.595520196390616	13.646150145525704	10.971472015565976	8.86163214201893	6.063767077172806	6.148795193443642	5.049236433281606	50.011777025752245	242.01586059252304	246.62775850976283	45.54928573792857	194.4916988221642	373.6165797512891	106.76185230313538	186.47630397423643
ANKRD18A	1.071897263342966	3.3406872264912977	1.016712200173775	1.0052499032106827	1.9061412654919754	11.932619615780489	1.7728316423349262	1.1591113616721291	1.0262427556828313	1.008572088215343	1.3757862508910146	1.0099387600329708	1.0103878652152312	9.09491583407437	1.0174738067676201	1.0138620584346554
ANKRD33B	53.66880477914172	41.47746836457851	20.519344417438802	18.27991417597486	66.08860015755438	72.75718895481921	82.09568569878348	72.36351224188756	2.78456057751671	2.453754713000739	2.899128856724914	2.8788441634053905	2.255341403310683	3.541663220673016	17.603709547460028	6.695374215240458
ANKRD55	2.4374097911420414	2.0551656631717794	2.5722691959242754	2.966899627154838	2.396193850749929	2.885701917070019	2.949226558775225	2.19212521133441	53.56017308691409	33.519903876043415	31.0454158626444	148.76478431432668	192.28695906417363	4.750010211130444	317.5788177344541	67.84868938607919
