NAME	Fetal-Microglia	Fetal-IPC	Fetal-Pericytes	Fetal-OPC	Fetal-Endothelial	Fetal-Astrocytes	Fetal-Oligo	Fetal-Trans	Fetal-NEP	Astrocytes	Endothelial	Fetal-quiescent	Fetal-replicating	Microglia	Neurons	OPC	Oligodendrocytes
A2M	2.365290299336197	1.8408779575947805	2.450880468569746	1.6656964884949446	1.6298911558929683	1.4715618204205136	1.767612331347753	3.101827148856936	5.631065524532726	1.9792840229274362	730.6243640782785	3.0758302108021307	3.0106394485292456	1803.619740252465	1.4238292324606419	40.17804275729629	2.2428025186055147
AASS	67.64657285952434	5.42320614989421	30.21408816716745	1.3208833849811255	119.28385816798169	3.8942346298893815	9.682957248871789	27.689076079762735	2.6614729983034646	2138.7478688599895	51.24963778296615	1.3590807268299219	709.6309981880805	1.669674714261573	1.0855712467905023	325.6040165211021	113.91647326151539
ABCF1	24.155700530231595	23.53633591980598	26.748418090646684	16.42498734840427	3.7995486685665845	26.400320099877856	26.598614438751557	8.664591662451478	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACBD7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	160.7926125706851	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACTL6A	1.0	79.01982386620206	1.0	1.0	1.0	1.1270373357008867	172.86367508273148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ADAM10	62.807717774413156	6.080499636639563	26.405940554503562	20.277716103841936	14.32108865952964	13.188437848553368	23.48153551606764	4.978505870956976	1.2419262972248606	1.043147182767645	1.1058261073705975	1.1086650116267123	1.0931606781087095	1.2356185850721082	1.0406149829579414	1.114149062787383	1.0782195679907438
ADAM28	1.005959820684634	1.0033480365928662	1.0116167096381108	1.0074161815150837	1.0043889777294557	1.0043194798205421	1.002763417558636	1.0221051780041055	1.0987889559411557	1.0126280852579852	1.0561021971038387	1.0648870492415412	1.059702464146446	313.94268139616975	1.0044645811337491	3.706991108334409	1.0285215953989852
ADCY1	1.3765467188869212	1.0	1.0	2.8565429819170323	2.9700782138237534	1.7172289729026207	1.1660782573599913	1.0	1.0	1.0	1.0	15.431471335660166	1.0	1.0	1.0	1.0	1.0
ADD2	6.100001352271081	24.658291214560254	16.33221304759603	9.377258830815009	11.334434304938734	43.5432590137186	28.82703730051655	4.388749029118653	1.016142790857237	1.0027801222253165	1.0042148253228422	2.932599823581082	1.0047932478850052	1.0102629765392412	1.006195404834626	1.003927063642318	1.003412797485244
ADORA3	1.0028429369644467	1.0027583337099804	1.0043805338091782	1.0034055113550413	1.0028054445109897	1.0027880283829615	1.002664327639097	1.0057962339994568	1.0302861571466095	1.00432825758308	1.0189652910224603	1.0174091634449314	1.0178577556497095	378.8875044061216	1.002814514808104	1.0297433125708162	1.0115406285675874
ADRA2A	1.0027834705542322	1.0027784524784251	1.0027167398260088	1.1573959937489544	1.3862437816579987	1.0559266208126332	1.0033223429648657	1.0028194482702313	1.0040943492398988	1.002704898430935	1.0028218116149508	35.96082764782076	1.0028147547973139	1.0043005644850638	1.0026509487608168	1.002780284558217	1.0027623879024141
AGT	2.180781278506391	1.113632842920105	1.5865602044199043	1.3544294079057644	1.3960853079392774	1.1511020148510163	1.03885314820026	1.7770486691006648	3.7037710874719845	2091.3449482735778	2.8218418834487418	2.712655733774025	2.7335263771707603	5.901172791231885	1.3613555299516376	3.062224440354398	2.108040328403037
AHCYL1	3.7037710874719845	2.960461775978696	9.466240700950893	5.906210768769975	1.7364904547839417	4.33453250008749	2.0521677919567467	2.916304163949876	1.0027189888583186	1640.516996852995	35.115601545280995	1.0026851033684963	2.6796064199269853	1.0027349966014536	7.8377259929579415	25.577765720656416	9.522135129604512
AKAP12	3.8520790206436883	7.8086067749448675	10.165027535486862	3.8165394224249978	17.688181145344167	3.5152511748321027	9.121121265731656	6.479387885339091	12.909235543132521	15.64411157654073	190.35308016193767	7.203908285578562	170.4737637177084	1.0	3.3974019304614598	32.76440666409797	1.0
AKR1A1	5.35800164598421	129.8757414597926	1.1608518520878246	12.617981261621178	18.901210796282616	33.04474207202652	687.3579280978855	1.8644512194544853	1.4701284839272581	1.1969623101220284	1.2659231840790923	1.540673614238623	1.383124160143703	38.52452095571904	1.3633765408101748	1.2639522444750018	1.5885860909535547
ALCAM	1.0021169829213965	1.0020029091890195	1.0021328797673539	1.0022469883838787	1.0022769443765693	1.0020138177472573	1.0016095660697053	1.0022826915520135	1.0022854332711157	57.260326821258275	18.766268479797745	1.0022654884268967	1.002241358638721	27.84381504847206	10.62552510077182	99.53287634427106	248.95406091120233
ALOX5AP	1.6677722039056018	1.2869880029552825	2.004615061122893	1.760511805503011	1.4484610053531677	1.3699874289258733	1.1049267559228855	2.7132720738474525	9.153792801235555	2.100719345151785	5.0901131134165105	5.665708261409762	5.679151106425035	1964.4452614884435	1.49968389443804	9.456807321766629	3.1245222152691188
ALYREF	1.3678318769478393	1.2490015882443086	2.9986815577653196	1.2523744110246304	1.7550545639750346	1.2998132491823893	1.4414057947629924	5.152303935572764	15.542664958515937	1.1112401386647512	1.3486537803499432	1.4821531388697045	9.871444100313383	1.704410560050015	1.1280574505806513	1.2535103237314305	1.274713936554369
ANAPC13	1.7364904547839417	11.31576627767371	1.702350316680155	118.75359237062335	1.8778125447204546	26.22375590214468	600.3331204424085	3.557928645359775	2.1203655305207545	2.621292711611744	1.5823277759880003	2.2942525154777234	1.6620915601816426	2.4343153337380206	16.18563686143487	1.6718334447456877	1.6260970173848777
